t	x	u
6.900000	0.900000	6.302479
6.900000	1.000000	7.002739
6.900000	1.100000	7.703028
6.900000	1.200000	8.403346
7.000000	0.000000	0.000912
7.000000	0.100000	0.711008
7.000000	0.200000	1.421114
7.000000	0.300000	2.131231
7.000000	0.400000	2.841360
7.000000	0.500000	3.551503
7.000000	0.600000	4.261662
7.000000	0.700000	4.971836
7.000000	0.800000	5.682029
7.000000	0.900000	6.392243
7.000000	1.000000	7.102479
7.000000	1.100000	7.812739
7.000000	1.200000	8.523028
7.100000	0.000000	0.000825
7.100000	0.100000	0.720912
7.100000	0.200000	1.441008
7.100000	0.300000	2.161114
7.100000	0.400000	2.881231
